id_transformador,data_amostragem,condicao_operacao,gas,valor_ppm
TR26,2024-10-29,Normal,Hidrogênio,11.0
TR26,2025-08-25,Normal,Hidrogênio,11.0
TR26,2026-04-09,Atenção,Hidrogênio,7.0
TR26,2020-06-24,Normal,Metano,1.0
TR26,2021-01-22,Normal,Metano,1.0
TR26,2021-09-14,Normal,Metano,3.0
TR26,2022-03-11,Normal,Metano,4.0
TR26,2022-08-30,Normal,Metano,6.0
TR26,2023-03-03,Normal,Metano,2.0
TR26,2023-08-18,Normal,Metano,2.0
TR26,2024-03-20,Normal,Metano,3.0
TR26,2024-10-29,Normal,Metano,3.0
TR26,2025-08-25,Normal,Metano,3.0
TR26,2026-04-09,Atenção,Metano,3.0
TR26,2020-06-24,Normal,Monóxido de Carbono,45.0
TR26,2021-01-22,Normal,Monóxido de Carbono,44.0
TR26,2021-09-14,Normal,Monóxido de Carbono,69.0
TR26,2022-03-11,Normal,Monóxido de Carbono,132.0
TR26,2022-08-30,Normal,Monóxido de Carbono,152.0
TR26,2023-03-03,Normal,Monóxido de Carbono,42.0
TR26,2023-08-18,Normal,Monóxido de Carbono,74.0
TR26,2024-03-20,Normal,Monóxido de Carbono,129.0
TR26,2024-10-29,Normal,Monóxido de Carbono,73.0
TR26,2025-08-25,Normal,Monóxido de Carbono,85.0
TR26,2026-04-09,Atenção,Monóxido de Carbono,481.0
TR27,2021-05-04,Normal,Acetileno,0.0
TR27,2021-05-04,Normal,Acetileno,0.0
TR27,2021-05-04,Normal,Acetileno,0.0
TR27,2021-11-18,Normal,Acetileno,0.0
TR27,2021-11-18,Normal,Acetileno,0.0
TR27,2021-11-18,Normal,Acetileno,0.0
TR27,2022-11-06,Normal,Acetileno,0.0
TR27,2023-04-20,Normal,Acetileno,0.0
TR27,2023-10-22,Normal,Acetileno,0.0
TR27,2024-04-23,Normal,Acetileno,0.0
TR27,2024-10-28,Normal,Acetileno,0.0
TR27,2025-04-28,Normal,Acetileno,0.0
TR27,2025-10-24,Normal,Acetileno,0.0
TR27,2026-04-23,Atenção,Acetileno,0.0
TR27,2026-06-08,Atenção,Acetileno,0.0
TR27,2021-05-04,Normal,Dióxido de Carbono,15998.0
TR27,2021-05-04,Normal,Dióxido de Carbono,14903.0
TR27,2021-05-04,Normal,Dióxido de Carbono,18553.0
TR27,2021-11-18,Normal,Dióxido de Carbono,18553.0
TR27,2021-11-18,Normal,Dióxido de Carbono,15998.0
TR27,2021-11-18,Normal,Dióxido de Carbono,32081.0
TR27,2022-11-06,Normal,Dióxido de Carbono,12490.0
TR27,2023-04-20,Normal,Dióxido de Carbono,16204.0
TR27,2023-10-22,Normal,Dióxido de Carbono,15481.0
TR27,2024-04-23,Normal,Dióxido de Carbono,15014.0
TR27,2024-10-28,Normal,Dióxido de Carbono,18295.0
TR27,2025-04-28,Normal,Dióxido de Carbono,18487.0
TR27,2025-10-24,Normal,Dióxido de Carbono,10504.0
TR27,2026-04-23,Atenção,Dióxido de Carbono,17644.0
TR27,2026-06-08,Atenção,Dióxido de Carbono,13731.0
TR27,2021-05-04,Normal,Etano,0.0
TR27,2021-05-04,Normal,Etano,6.0
TR27,2021-05-04,Normal,Etano,7.0
TR27,2021-11-18,Normal,Etano,1.0
TR27,2021-11-18,Normal,Etano,0.0
TR27,2021-11-18,Normal,Etano,0.0
TR27,2022-11-06,Normal,Etano,1.0
TR27,2023-04-20,Normal,Etano,0.0
TR27,2023-10-22,Normal,Etano,0.0
TR27,2024-04-23,Normal,Etano,3.0
TR27,2024-10-28,Normal,Etano,4.0
